date,open,close,high,low,volume,amount
2022-10-27,39.03,42.13,43.18,38.8,638606,2629327658.0
2022-10-28,41.79,41.55,42.47,41.05,418435,1750375158.0
2022-10-31,41.6,41.71,42.95,41.6,355746,1503544490.0
2022-11-01,41.55,41.72,42.1,40.88,253455,1052578045.0
2022-11-02,41.51,41.81,42.82,41.31,283656,1194293451.0
2022-11-03,41.7,42.05,42.5,41.5,233751,982286274.0
2022-11-04,41.9,42.15,42.39,41.51,273022,1147648628.0
2022-11-07,42.06,41.88,42.45,41.84,197672,832900174.0
2022-11-08,42.1,41.36,42.18,41.01,198097,820063503.0
2022-11-09,41.13,41.15,41.54,41.11,118701,490309866.0
2022-11-10,41.2,40.3,41.38,40.15,203096,827294977.0
2022-11-11,41.2,40.71,41.45,40.67,219454,899883857.0
2022-11-14,40.79,41.4,41.68,40.71,195687,809027039.0
2022-11-15,41.4,42.79,43.1,41.35,401863,1706045739.0
2022-11-16,42.79,42.48,43.58,42.44,274631,1178199945.0
2022-11-17,42.2,42.66,42.8,41.82,227430,962808736.0
2022-11-18,42.63,41.81,42.87,41.8,178750,754172899.0
2022-11-21,41.69,41.58,41.89,41.4,101525,422855507.0
2022-11-22,41.57,41.0,41.93,40.94,159215,657599022.0
2022-11-23,41.0,40.77,41.39,40.7,122947,503422173.0
2022-11-24,41.0,40.68,41.18,40.59,99432,405828515.0
2022-11-25,40.8,40.69,41.1,40.69,103398,422632511.0
2022-11-28,40.14,40.08,40.39,40.01,111735,448815929.0
2022-11-29,40.15,40.98,41.2,40.15,155072,632134389.0
2022-11-30,41.11,40.84,41.28,40.71,97356,398651200.0
2022-12-01,41.2,40.98,41.55,40.87,159846,658186229.0
2022-12-02,40.88,40.65,41.15,40.62,109465,447069769.0
2022-12-05,40.8,41.36,41.36,40.79,191016,786591720.0
2022-12-06,41.3,41.91,42.32,41.19,235413,987663789.0
2022-12-07,42.0,41.92,42.15,41.61,162255,679406224.0
2022-12-08,41.96,41.9,42.07,41.5,144485,603612531.0
2022-12-09,41.98,42.16,42.27,41.85,204660,861943872.0
2022-12-12,42.13,41.95,42.38,41.66,177422,745737685.0
2022-12-13,41.9,41.8,42.12,41.72,106618,447236452.0
2022-12-14,43.96,42.57,43.96,42.56,379173,1635585587.0
2022-12-15,42.46,42.77,43.2,42.25,186118,798249097.0
2022-12-16,42.5,43.0,43.18,42.18,200437,858182385.0
2022-12-19,42.8,41.78,43.15,41.7,151957,643620897.0
2022-12-20,41.58,41.85,42.15,41.55,99083,414891671.0
2022-12-21,41.73,41.29,41.96,41.0,86115,357491919.0
2022-12-22,41.55,41.07,41.65,40.99,67444,278829201.0
2022-12-23,40.9,41.06,41.33,40.83,74289,305545925.0
2022-12-26,40.9,41.43,41.54,40.9,74695,308594729.0
2022-12-27,41.39,41.48,41.61,41.15,61293,253743899.0
2022-12-28,41.43,40.9,41.52,40.89,77231,317252600.0
2022-12-29,40.67,40.89,41.27,40.67,64762,265197790.0
2022-12-30,41.01,41.14,41.35,41.01,60396,248594882.0
2023-01-03,41.08,41.54,41.56,40.99,88545,365574069.0
2023-01-04,41.6,41.92,41.93,41.55,119135,497422826.0
2023-01-05,41.8,41.87,41.91,41.6,95095,396990563.0
2023-01-06,41.87,41.68,42.2,41.62,129975,543924303.0
2023-01-09,41.8,41.53,42.05,41.43,110499,460731198.0
2023-01-10,41.6,41.56,41.78,41.49,79748,331845827.0
2023-01-11,41.48,41.18,41.78,41.17,85209,353723066.0
2023-01-12,41.18,40.82,41.33,40.8,89348,366156954.0
2023-01-13,40.93,41.3,41.3,40.9,78856,324026861.0
2023-01-16,41.21,41.92,42.3,41.1,171816,719329918.0
2023-01-17,42.13,42.1,42.45,41.91,138559,584954175.0
2023-01-18,42.15,42.0,42.24,41.94,80879,339988428.0
2023-01-19,41.88,42.5,42.53,41.85,130140,550273882.0
2023-01-20,42.48,42.59,42.81,42.41,121937,519713050.0
2023-01-30,42.7,42.37,43.08,42.37,201349,857908188.0
2023-01-31,42.3,41.86,42.6,41.67,154298,649901286.0
2023-02-01,41.99,43.46,43.55,41.96,313003,1342460728.0
2023-02-02,43.61,43.42,43.95,43.16,258361,1125250360.0
2023-02-03,43.2,43.33,43.62,42.81,156675,675367687.0
2023-02-06,43.09,43.0,43.26,42.75,116905,502547721.0
2023-02-07,42.91,43.18,43.18,42.91,117853,507375163.0
2023-02-08,43.2,42.62,43.4,42.62,112179,481943920.0
2023-02-09,42.5,43.6,43.6,42.45,213293,920811705.0
2023-02-10,43.09,43.07,43.64,42.86,196437,848693588.0
2023-02-13,43.08,42.98,43.43,42.8,170067,733373406.0
2023-02-14,43.01,43.03,43.47,42.83,121554,523658579.0
2023-02-15,43.03,42.86,43.1,42.73,112552,482848991.0
2023-02-16,42.88,41.98,43.19,41.8,206393,878976513.0
2023-02-17,42.0,41.81,42.45,41.78,156489,658552238.0
2023-02-20,41.98,42.26,42.26,41.61,108397,455581666.0
2023-02-21,42.27,42.35,42.57,42.2,97091,411308482.0
2023-02-22,42.39,42.3,42.53,42.2,73652,311850660.0
2023-02-23,42.28,42.16,42.45,42.06,71846,303440363.0
2023-02-24,42.15,41.97,42.32,41.94,81071,341174623.0
2023-02-27,41.94,41.63,42.06,41.57,90787,379209108.0
2023-02-28,41.78,42.02,42.2,41.53,132823,555554010.0
2023-03-01,41.99,42.37,42.46,41.92,137024,579830571.0
2023-03-02,42.41,42.46,42.65,42.25,114671,487040565.0
2023-03-03,42.88,43.32,43.88,42.88,310282,1344302283.0
2023-03-06,43.12,43.4,43.84,42.9,215696,935445710.0
2023-03-07,43.32,42.73,43.66,42.68,175736,758548544.0
2023-03-08,42.7,42.84,42.93,42.56,108048,462082471.0
2023-03-09,42.8,43.27,43.88,42.8,235764,1023553705.0
2023-03-10,43.0,43.0,43.67,42.73,199761,863796135.0
2023-03-13,43.0,43.6,43.74,42.56,216498,935642557.0
2023-03-14,43.65,48.01,48.88,43.38,1363550,6388771484.0
2023-03-15,48.01,48.88,50.95,47.88,1275671,6286627704.0
2023-03-16,48.77,49.31,50.5,48.74,951214,4724742584.0
2023-03-17,50.1,52.57,52.98,49.1,1401298,7194787634.0
2023-03-20,52.6,51.81,53.66,51.66,1005252,5284002495.0
2023-03-21,51.81,52.11,52.66,50.95,674449,3490710416.0
2023-03-22,51.95,52.3,52.5,51.36,588231,3054583017.0
2023-03-23,52.0,52.32,53.38,50.6,908342,4713726596.0
2023-03-24,52.0,50.8,52.1,50.69,676051,3463874780.0
2023-03-27,50.5,49.5,50.77,48.89,649113,3227686408.0
