date,open,close,high,low,volume,amount
2022-12-06,18.16,18.18,18.39,18.12,4651900.0,133421800.0
2022-12-07,18.11,17.85,18.18,17.68,9128500.0,257023500.0
2022-12-08,17.78,17.88,18.1,17.64,7569500.0,213380300.0
2022-12-09,17.84,17.89,17.95,17.56,9780000.0,273786100.0
2022-12-12,17.83,18.18,18.33,17.73,7842300.0,223518200.0
2022-12-13,18.06,18.27,18.52,17.99,8357200.0,240379000.0
2022-12-14,18.21,18.4,19.09,18.2,10176500.0,297718600.0
2022-12-15,18.26,18.19,18.57,18.09,6208000.0,178667300.0
2022-12-16,18.09,17.8,18.22,17.44,8302100.0,231959400.0
2022-12-19,17.75,17.47,17.94,17.41,5503300.0,152959200.0
2022-12-20,17.47,17.34,17.57,17.18,4195200.0,114903400.0
2022-12-21,17.34,17.1,17.37,16.9,4769800.0,129008300.0
2022-12-22,17.18,16.74,17.21,16.72,6204800.0,166076400.0
2022-12-23,16.65,16.56,16.83,16.34,5905100.0,155364900.0
2022-12-26,16.54,16.73,16.88,16.54,4784600.0,127267800.0
2022-12-27,16.85,17.01,17.16,16.73,6454700.0,173337200.0
2022-12-28,16.95,16.81,16.98,16.7,4141200.0,110471100.0
2022-12-29,16.63,17.14,17.42,16.59,8813000.0,238668900.0
2022-12-30,17.1,17.06,17.38,17.0,5779800.0,157167000.0
2023-01-03,17.19,17.98,18.17,16.96,11300000.0,314738000.0
2023-01-04,17.91,18.25,18.38,17.83,7476900.0,212973200.0
2023-01-05,18.16,18.24,18.33,18.06,6724200.0,192143900.0
2023-01-06,18.25,18.06,18.25,17.96,6878100.0,195869800.0
2023-01-09,18.15,17.9,18.15,17.75,6913700.0,195050099.99999997
2023-01-10,17.9,17.94,18.01,17.77,3806100.0,107450500.0
2023-01-11,18.01,17.73,18.01,17.7,4175900.0,117332099.99999999
2023-01-12,17.77,17.84,17.95,17.64,4138900.0,116163100.0
2023-01-13,17.84,17.63,17.9,17.54,4945500.0,137713500.0
2023-01-16,17.67,17.91,18.12,17.55,5829400.0,164893400.0
2023-01-17,17.98,17.99,18.16,17.88,4847000.0,137237800.0
2023-01-18,17.99,18.26,18.38,17.84,6034300.0,172524100.0
2023-01-19,18.26,18.38,18.44,18.16,4651700.0,133750300.0
2023-01-20,18.45,18.47,18.69,18.28,5732200.0,166115700.0
2023-01-30,18.77,18.41,18.8,18.35,7223400.0,210091800.0
2023-01-31,18.84,18.55,19.18,18.54,12389400.0,364297100.0
2023-02-01,19.2,19.07,19.41,18.64,12556600.0,372290600.0
2023-02-02,19.27,19.45,19.68,19.02,15688600.0,475326400.0
2023-02-03,19.47,20.32,20.42,19.41,21736500.0,677745900.0
2023-02-06,20.58,20.66,20.85,20.17,21355500.0,681956300.0
2023-02-07,21.04,21.95,22.51,20.99,39873300.0,1346372400.0
2023-02-08,22.22,21.42,22.71,21.35,20606900.0,693838900.0
2023-02-09,21.35,22.92,23.12,20.81,36872500.0,1266532300.0
2023-02-10,22.93,22.75,24.14,22.32,46895800.0,1672355300.0
2023-02-13,23.0,23.49,23.78,22.67,33537900.0,1197062600.0
2023-02-14,23.21,22.9,23.83,22.64,28198400.0,997523000.0
2023-02-15,22.69,23.35,23.97,22.5,34029200.0,1222109800.0
2023-02-16,23.17,22.82,23.94,22.57,25396200.0,903083800.0
2023-02-17,22.67,21.6,22.71,21.47,28433300.0,956888200.0000001
2023-02-20,21.64,22.21,22.27,21.57,17724100.0,599996800.0
2023-02-21,22.21,21.87,22.37,21.73,11523200.0,390566700.0
2023-02-22,21.76,21.86,22.31,21.63,10989100.0,371424100.00000006
2023-02-23,21.75,21.71,22.03,21.6,7605900.0,255628300.00000003
2023-02-24,21.91,22.7,23.06,21.91,26228700.0,915100100.0
2023-02-27,22.62,22.49,22.98,22.35,12327400.0,428861400.0
2023-02-28,23.42,23.15,24.07,22.8,27987000.0,1002687400.0
2023-03-01,23.16,23.44,23.87,23.01,26757600.0,963886100.0
2023-03-02,23.36,23.95,24.78,23.26,31635000.0,1167408000.0
2023-03-03,23.27,23.1,23.75,22.85,27396300.0,975236700.0
2023-03-06,22.97,23.2,23.85,22.97,19342200.0,692471100.0
2023-03-07,23.01,22.37,23.36,22.34,18415200.0,642569100.0
2023-03-08,22.43,22.52,22.77,22.07,14643600.0,505183300.0
2023-03-09,22.29,22.38,22.73,22.06,11646600.0,399844300.0
2023-03-10,22.11,22.3,22.86,22.04,14109800.0,488445600.0
2023-03-13,22.22,22.62,22.91,21.88,17362000.0,602055200.0
2023-03-14,22.38,21.75,23.04,21.75,23481800.0,799083300.0
2023-03-15,21.97,21.25,22.2,21.15,18357100.0,609911000.0
