date,open,close,high,low,volume,amount
2024-02-23,31.75,31.9,32.08,31.05,181228,575240778.0
2024-02-26,31.66,32.44,32.92,31.61,178326,578768874.0
2024-02-27,32.25,34.25,34.4,31.92,221480,738745038.0
2024-02-28,34.12,31.99,34.65,31.96,253144,852089280.0
2024-02-29,31.79,34.09,34.21,31.73,219735,738804032.0
2024-03-01,34.1,34.85,35.18,34.01,201120,700749409.0
2024-03-04,35.05,34.61,35.25,34.05,131689,458396542.0
2024-03-05,34.44,33.76,34.64,33.44,128968,439927516.0
2024-03-06,33.44,33.58,34.13,32.98,111073,373612782.0
2024-03-07,33.74,32.9,34.18,32.79,121343,407367404.0
2024-03-08,33.04,33.62,33.83,32.66,114823,386001921.0
2024-03-11,33.35,34.15,34.22,33.05,108244,366489565.0
2024-03-12,34.13,34.2,34.74,33.88,100375,344885045.0
2024-03-13,34.44,33.88,34.64,33.79,101912,349972941.0
2024-03-14,33.67,33.37,34.01,32.99,94789,319150820.0
2024-03-15,33.2,33.59,33.59,32.89,78985,263255840.0
2024-03-18,33.7,34.37,34.38,33.58,100988,345017218.0
2024-03-19,34.3,33.92,34.61,33.91,79490,272696199.0
2024-03-20,34.0,34.03,34.17,33.71,62352,212787296.0
2024-03-21,34.23,34.27,34.72,34.05,115086,397979410.0
2024-03-22,34.2,33.33,34.48,33.33,102424,347925949.0
2024-03-25,33.11,32.06,33.11,32.06,98494,321165434.0
2024-03-26,32.02,31.6,32.33,31.26,64420,205680794.0
2024-03-27,31.63,30.38,31.74,30.35,70918,220198679.0
2024-03-28,30.38,30.75,31.31,30.38,75035,232712083.0
2024-03-29,30.75,30.96,30.98,30.4,51513,158757587.0
2024-04-01,31.0,31.41,31.48,31.0,51553,162219157.0
2024-04-02,31.45,31.06,31.47,30.91,44300,138446331.0
2024-04-03,31.45,31.01,31.74,30.89,68603,215140194.0
2024-04-08,30.73,29.92,30.73,29.92,66873,202845531.0
2024-04-09,29.92,30.6,30.62,29.92,49195,149699931.0
2024-04-10,30.45,29.86,30.54,29.68,42296,127649940.0
2024-04-11,29.67,29.74,30.26,29.04,62686,187266698.0
2024-04-12,29.74,29.46,30.13,29.45,45491,136295661.0
2024-04-15,29.28,29.64,30.01,29.1,53786,160081620.0
2024-04-16,29.63,28.48,29.63,28.44,59978,173769908.0
2024-04-17,28.65,29.62,29.64,28.65,61239,179932909.0
2024-04-18,29.46,29.55,29.98,29.14,49699,147828225.0
2024-04-19,29.33,28.84,29.41,28.76,47412,138204706.0
2024-04-22,28.65,28.93,29.1,28.26,36285,104989489.0
2024-04-23,28.97,28.77,29.14,28.7,33573,97506756.0
2024-04-24,28.86,29.21,29.23,28.53,54150,157555675.0
2024-04-25,29.08,29.54,29.9,28.76,68985,204173251.0
2024-04-26,29.38,30.01,30.13,29.31,68047,203987381.0
2024-04-29,30.05,30.9,31.02,30.03,74077,228157325.0
2024-04-30,30.85,30.26,30.85,30.14,58211,178104349.0
2024-05-06,30.79,30.86,30.98,30.6,57235,177264776.0
2024-05-07,30.86,30.91,31.03,30.72,39278,121869071.0
2024-05-08,30.86,30.41,31.07,30.32,46698,143817892.0
2024-05-09,30.51,32.05,32.34,30.45,141135,448922194.0
2024-05-10,31.56,31.72,32.11,31.25,115716,368475741.0
2024-05-13,31.45,30.92,31.54,30.8,68370,213692872.0
2024-05-14,31.11,31.08,31.29,30.88,45300,141403114.0
2024-05-15,31.01,30.45,31.1,30.37,48578,149925777.0
2024-05-16,30.63,30.78,30.99,30.55,43841,135752425.0
2024-05-17,30.75,32.15,32.17,30.56,100781,320257899.0
2024-05-20,32.2,31.85,32.31,31.73,53292,171081265.0
2024-05-21,31.75,31.62,32.12,31.35,61533,195935290.0
2024-05-22,31.63,32.43,32.57,31.55,75243,243039636.0
2024-05-23,32.35,31.94,32.35,31.75,59590,191607591.0
2024-05-24,31.95,31.55,32.14,31.54,48574,154978352.0
2024-05-27,31.58,33.0,33.24,31.44,116645,381274255.0
2024-05-28,33.0,32.66,34.2,32.65,118886,398975350.0
2024-05-29,32.36,32.65,33.13,32.36,54545,179258018.0
2024-05-30,32.47,33.76,34.27,32.26,133219,451156901.0
2024-05-31,33.69,33.44,34.03,33.25,72014,242997713.0
2024-06-03,33.6,34.1,34.93,33.55,117992,406676507.0
2024-06-04,34.1,34.25,34.3,33.48,73282,249044933.0
2024-06-05,34.04,34.9,35.35,33.91,123593,434002587.0
2024-06-06,35.84,36.23,37.57,35.55,246032,901751200.0
2024-06-07,36.23,36.81,38.03,35.77,190153,701113122.0
2024-06-11,36.43,38.12,38.5,36.43,178128,671501072.0
2024-06-12,37.75,37.7,37.88,36.78,144760,540132224.0
2024-06-13,38.85,37.63,39.78,37.61,223244,862781316.0
2024-06-14,37.58,36.97,38.29,36.56,200135,747186486.0
2024-06-17,37.0,38.18,38.98,36.79,155021,590474053.0
2024-06-18,38.75,38.9,38.97,38.21,128518,496315830.0
2024-06-19,38.99,38.56,39.57,37.7,133702,516316074.0
2024-06-20,38.56,38.9,40.3,38.33,167848,659951103.0
2024-06-21,38.34,38.49,38.71,37.5,99303,378025276.0
2024-06-24,38.08,37.03,39.38,36.83,123956,469677001.0
2024-06-25,37.22,35.53,37.37,35.03,137298,496462357.0
2024-06-26,35.83,36.63,37.0,35.5,100749,363739618.0
2024-06-27,36.3,35.64,36.5,35.3,83838,300379600.0
2024-06-28,35.58,35.85,36.79,35.43,94728,342798435.0
2024-07-01,35.61,34.98,35.85,33.73,134757,465410642.0
2024-07-02,34.81,34.04,35.26,33.84,89800,309946903.0
2024-07-03,34.04,35.07,35.27,33.66,109565,380237301.0
2024-07-04,34.94,35.43,36.49,34.9,119014,425297012.0
2024-07-05,35.15,35.46,35.95,34.7,100141,353179258.0
2024-07-08,35.5,35.39,36.5,35.21,84741,304617311.0
2024-07-09,35.35,37.04,37.23,35.33,122671,448830125.0
2024-07-10,36.8,36.49,37.15,36.3,79548,292773327.0
2024-07-11,37.0,36.86,37.79,36.25,95314,352806446.0
2024-07-12,36.45,36.36,36.72,35.71,76849,277656474.0
2024-07-15,36.1,36.55,37.17,36.09,59973,220315140.0
2024-07-16,36.33,37.43,37.56,36.04,83123,307344842.0
2024-07-17,37.27,36.15,37.35,36.15,70775,260562220.0
2024-07-18,35.5,35.95,36.38,34.86,80941,287781972.0
2024-07-19,35.83,38.95,39.44,35.73,190858,729072273.0
2024-07-22,39.49,39.64,40.3,38.53,130219,515812378.0
2024-07-23,39.48,37.5,39.68,37.47,105051,404615163.0
2024-07-24,37.35,37.27,38.17,37.07,70627,265796493.0
2024-07-25,36.9,36.05,37.06,35.84,70084,255332680.0
2024-07-26,35.99,36.6,36.88,35.81,51228,186684999.0
2024-07-29,36.86,34.88,37.65,34.75,86322,311306755.0
2024-07-30,34.8,35.11,35.43,34.69,51192,179063339.0
2024-07-31,34.89,36.9,36.95,34.71,75028,270770042.0
2024-08-01,36.9,36.88,37.55,36.52,61878,229214532.0
2024-08-02,36.45,35.48,36.83,35.3,72553,261186109.0
2024-08-05,34.98,33.21,35.4,33.2,91981,314060705.0
2024-08-06,33.9,33.86,34.05,33.35,44964,151525519.0
2024-08-07,33.83,33.98,34.77,33.75,36820,126328351.0
2024-08-08,33.66,34.35,34.78,33.58,38208,130831871.0
2024-08-09,35.2,33.54,35.5,33.51,83335,285189680.0
2024-08-12,33.3,31.77,33.3,31.47,99496,318147281.0
2024-08-13,31.79,31.59,31.94,31.22,61856,195563985.0
2024-08-14,31.78,31.2,31.8,31.16,47942,150745100.0
2024-08-15,31.15,31.25,31.87,30.96,50307,157882885.0
2024-08-16,31.4,30.88,31.44,30.8,43258,134498588.0
2024-08-19,30.97,31.1,31.41,30.7,38170,118605444.0
2024-08-20,31.0,30.45,31.05,30.34,42998,131549605.0
2024-08-21,30.29,29.92,30.57,29.8,39852,120124829.0
2024-08-22,30.03,29.41,30.07,29.33,41502,122643496.0
2024-08-23,29.2,29.51,29.73,29.2,27914,82209435.0
2024-08-26,29.5,29.49,29.73,29.21,28896,85263011.0
2024-08-27,29.49,29.63,29.72,28.98,36729,107954572.0
2024-08-28,29.36,29.3,29.67,29.23,29176,85764301.0
2024-08-29,29.15,30.17,30.34,28.81,57860,171682686.0
2024-08-30,29.67,31.15,31.37,29.65,75037,230623248.0
2024-09-02,30.88,29.9,30.95,29.88,46903,142988887.0
2024-09-03,29.68,30.06,30.5,29.68,23077,69584125.0
2024-09-04,29.8,29.81,30.24,29.6,23909,71487616.0
2024-09-05,29.79,30.06,30.2,29.79,21214,63645870.0
2024-09-06,30.13,29.2,30.16,29.15,30237,89403614.0
2024-09-09,29.08,28.69,29.27,28.4,38330,110208727.0
2024-09-10,28.64,28.12,28.81,27.72,56411,158651428.0
2024-09-11,27.93,27.92,28.09,27.5,43607,120864200.0
2024-09-12,27.97,27.66,28.16,27.62,40759,113584470.0
2024-09-13,27.6,27.08,27.82,27.05,43394,118983165.0
2024-09-18,27.18,27.21,27.36,26.6,34463,92925904.0
2024-09-19,27.3,27.67,27.9,27.02,46005,126881238.0
2024-09-20,27.75,27.51,27.77,27.27,26373,72560116.0
2024-09-23,27.6,27.57,27.95,27.48,29809,82599664.0
2024-09-24,27.85,28.85,28.89,27.61,54889,155794381.0
2024-09-25,29.27,29.27,30.07,29.08,68695,203323304.0
2024-09-26,29.12,30.39,30.43,29.12,68452,203946757.0
2024-09-27,31.0,32.33,32.5,30.86,69375,219134647.0
2024-09-30,33.71,37.76,38.3,33.33,206086,740277666.0
2024-10-08,45.31,45.31,45.31,43.33,347111,1566872771.0
2024-10-09,43.68,45.7,50.04,42.08,567896,2662622373.0
2024-10-10,45.65,42.4,45.99,40.7,296687,1276301430.0
2024-10-11,41.05,39.13,42.1,38.5,182107,727594539.0
2024-10-14,39.29,39.81,40.25,37.64,195561,764354632.0
2024-10-15,39.79,39.23,41.49,39.21,173550,700639499.0
2024-10-16,38.0,38.71,39.68,37.68,100833,391217632.0
2024-10-17,39.39,38.26,39.58,38.2,102253,398498007.0
2024-10-18,38.84,43.08,44.8,38.37,322499,1348499343.0
2024-10-21,43.99,44.42,49.24,43.37,419855,1911736265.0
2024-10-22,44.01,46.55,48.15,43.32,320724,1443219391.0
2024-10-23,45.8,44.55,46.41,44.3,223835,1017459326.0
2024-10-24,43.7,44.09,45.35,43.68,149233,662834328.0
2024-10-25,44.19,45.13,46.59,44.13,171458,775682013.0
2024-10-28,44.9,44.49,45.5,44.2,120138,536692205.0
2024-10-29,44.55,43.6,45.37,43.58,153204,680641050.0
2024-10-30,43.28,42.16,43.41,41.3,176600,746899046.0
2024-10-31,42.03,42.95,43.55,41.73,124381,533375582.0
2024-11-01,42.8,41.22,43.6,41.2,121341,510440408.0
2024-11-04,41.31,41.88,41.95,41.03,73821,306359426.0
2024-11-05,41.81,44.19,44.43,41.67,178621,779234658.0
2024-11-06,44.39,44.2,45.8,43.54,178070,792101205.0
2024-11-07,44.14,45.47,45.75,43.54,172359,772494976.0
2024-11-08,47.31,46.96,48.93,45.9,266289,1265803185.0
2024-11-11,49.38,54.0,56.0,49.38,465451,2481818796.0
2024-11-12,54.0,54.5,55.55,52.0,400044,2161808064.0
2024-11-13,53.0,54.76,57.17,52.32,360867,1975050791.0
2024-11-14,53.4,50.77,54.39,50.11,296347,1548575261.0
2024-11-15,50.01,48.16,51.1,47.86,227890,1126007210.0
2024-11-18,48.16,46.93,48.66,46.21,173327,821117717.0
2024-11-19,47.09,48.58,48.58,46.38,165860,787813708.0
2024-11-20,48.12,48.22,48.71,47.28,147456,707006729.0
2024-11-21,47.7,48.64,49.85,47.7,149588,730453867.0
2024-11-22,51.8,48.87,53.78,48.8,328259,1686504682.0
2024-11-25,48.78,46.89,48.78,45.76,190706,894663468.0
2024-11-26,46.63,45.39,47.38,45.35,132046,611858453.0
2024-11-27,45.0,47.12,47.22,43.88,159905,733326847.0
2024-11-28,47.02,46.72,48.28,46.45,133043,626474756.0
2024-11-29,46.51,48.28,49.25,45.99,173546,829973663.0
2024-12-02,48.72,48.98,49.63,48.36,138091,677198462.0
2024-12-03,49.38,48.97,49.8,47.92,118358,576858093.0
2024-12-04,50.66,48.8,51.05,48.61,213604,1072820404.0
2024-12-05,48.01,49.9,50.12,47.9,133727,660086805.0
2024-12-06,49.49,50.34,50.92,49.28,130392,655281829.0
2024-12-09,50.33,49.44,50.34,48.4,115903,572241200.0
2024-12-10,52.08,49.35,52.19,49.35,141290,712322246.0
2024-12-11,50.0,49.17,50.6,48.8,126909,629445050.0
2024-12-12,49.19,50.01,50.28,48.38,156755,775699943.0
