参数,入场周期,离场周期,回测开始,回测结束,交易日数,累计回报,最大回撤,夏普比率,买入持有回报,完成交易次数,胜率,期末权益,跳过单位次数,期末持仓股数
20/10（主策略）,20,10,2025-07-10,2026-07-10,233,1.3702287676905,-0.15275685649115478,2.442681632993674,6.006147585511824,2,1.0,1185114.3838452501,0,1900
30/15,30,15,2025-07-10,2026-07-10,233,1.0862695173735002,-0.18085145408301473,2.170644993966797,6.006147585511824,2,1.0,1043134.7586867502,0,1500
55/20,55,20,2025-07-10,2026-07-10,233,0.8827702523853005,-0.19846446080920888,1.976722108449956,6.006147585511824,2,0.5,941385.1261926503,0,1200
