参数,entry_date,exit_date,units,shares,average_entry,exit_price,pnl,return_pct,exit_reason
20/10（主策略）,2025-07-25,2025-11-12,4,4700,61.25337734042553,113.153395,243152.34849449998,0.8443457123593043,跌破10日低点
20/10（主策略）,2026-01-07,2026-02-03,4,1900,135.97848157894737,139.23035000000002,5757.14330100005,0.022276809068637857,2ATR动态止损
30/15,2025-07-25,2025-11-24,4,4700,61.25337734042553,107.94600000000001,218709.40917795006,0.7594676877908745,跌破15日低点
30/15,2026-01-07,2026-02-03,4,1900,135.97848157894737,139.23035000000002,5757.14330100005,0.022276809068637857,2ATR动态止损
55/20,2025-07-25,2025-11-24,4,4700,61.25337734042553,107.94600000000001,218709.40917795006,0.7594676877908745,跌破20日低点
55/20,2026-01-28,2026-02-03,2,800,157.388655,139.23035000000002,-14709.216841199986,-0.11678736786635059,2ATR动态止损
