date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover,name
2024-12-20,688347,47.29,49.29,51.2,47.05,184993,910732286.0,8.79,4.38,2.07,4.73,华虹公司
2024-12-23,688347,49.1,49.28,50.99,49.05,152524,763125918.0,3.94,-0.02,-0.01,3.9,华虹公司
2024-12-24,688347,49.5,49.99,50.05,48.6,102123,504292270.0,2.94,1.44,0.71,2.61,华虹公司
2024-12-25,688347,49.66,49.55,50.75,49.4,117719,587976035.0,2.7,-0.88,-0.44,3.01,华虹公司
2024-12-26,688347,49.6,49.81,50.29,48.92,113111,563707961.0,2.76,0.52,0.26,2.89,华虹公司
2024-12-27,688347,49.81,50.03,51.86,48.9,181676,921166130.0,5.94,0.44,0.22,4.64,华虹公司
2024-12-30,688347,49.99,49.3,50.2,48.98,128041,632989531.0,2.44,-1.46,-0.73,3.27,华虹公司
2024-12-31,688347,49.17,46.47,49.17,46.08,167297,790833229.0,6.27,-5.74,-2.83,4.27,华虹公司
2025-01-02,688347,46.49,43.6,46.49,42.91,140482,625482138.0,7.7,-6.18,-2.87,3.59,华虹公司
2025-01-03,688347,43.8,42.51,44.0,42.36,99788,429071314.0,3.76,-2.5,-1.09,2.55,华虹公司
2025-01-06,688347,42.51,41.69,42.8,41.4,74844,314208427.0,3.29,-1.93,-0.82,1.91,华虹公司
2025-01-07,688347,41.67,42.43,42.47,41.62,79543,334964521.0,2.04,1.78,0.74,2.03,华虹公司
2025-01-08,688347,42.02,41.94,42.51,40.23,108273,448531837.0,5.37,-1.15,-0.49,2.77,华虹公司
2025-01-09,688347,41.56,42.22,42.99,41.56,78184,332111126.0,3.41,0.67,0.28,2.0,华虹公司
2025-01-10,688347,42.18,41.93,43.92,41.92,118126,509036929.0,4.74,-0.69,-0.29,3.02,华虹公司
2025-01-13,688347,41.25,43.93,45.52,41.0,157892,683962572.0,10.78,4.77,2.0,4.03,华虹公司
2025-01-14,688347,44.0,45.1,45.67,43.7,140345,627044501.0,4.48,2.66,1.17,3.59,华虹公司
2025-01-15,688347,44.95,44.86,45.97,44.12,104979,471065609.0,4.1,-0.53,-0.24,2.68,华虹公司
2025-01-16,688347,45.18,45.67,47.0,45.18,164520,758393242.0,4.06,1.81,0.81,4.2,华虹公司
2025-01-17,688347,45.9,46.86,48.2,45.46,166291,777410954.0,6.0,2.61,1.19,4.25,华虹公司
2025-01-20,688347,46.95,46.52,47.5,46.14,106479,497230631.0,2.9,-0.73,-0.34,2.72,华虹公司
2025-01-21,688347,46.85,47.18,47.72,46.56,110004,518094631.0,2.49,1.42,0.66,2.81,华虹公司
2025-01-22,688347,47.02,46.54,47.6,46.26,97443,456243557.0,2.84,-1.36,-0.64,2.49,华虹公司
2025-01-23,688347,47.2,46.7,48.78,46.65,138208,659142773.0,4.58,0.34,0.16,3.53,华虹公司
2025-01-24,688347,46.66,47.3,47.36,46.61,83916,394847639.0,1.61,1.28,0.6,2.14,华虹公司
2025-01-27,688347,47.3,45.85,47.35,45.85,79622,371749926.0,3.17,-3.07,-1.45,2.03,华虹公司
2025-02-05,688347,48.3,47.6,48.64,47.48,158411,761749346.0,2.53,3.82,1.75,4.05,华虹公司
2025-02-06,688347,47.35,49.25,49.8,47.2,179291,876804284.0,5.46,3.47,1.65,4.58,华虹公司
2025-02-07,688347,49.26,49.06,50.21,48.32,176126,868857649.0,3.84,-0.39,-0.19,4.5,华虹公司
2025-02-10,688347,49.26,49.04,49.52,48.64,116441,571246217.0,1.79,-0.04,-0.02,2.97,华虹公司
2025-02-11,688347,49.01,47.72,49.27,47.52,94524,453748458.0,3.57,-2.69,-1.32,2.41,华虹公司
2025-02-12,688347,47.8,49.69,49.86,47.2,207315,1011600149.0,5.57,4.13,1.97,5.3,华虹公司
2025-02-13,688347,49.4,48.39,49.47,48.35,108713,530200438.0,2.25,-2.62,-1.3,2.78,华虹公司
2025-02-14,688347,47.0,46.79,47.8,46.38,172517,807316771.0,2.93,-3.31,-1.6,4.41,华虹公司
2025-02-17,688347,46.5,51.72,53.8,46.1,367268,1829850207.0,16.46,10.54,4.93,9.38,华虹公司
2025-02-18,688347,50.6,51.1,53.48,50.52,322000,1679404359.0,5.72,-1.2,-0.62,8.23,华虹公司
2025-02-19,688347,51.85,60.28,61.0,51.85,719702,4128958284.0,17.91,17.96,9.18,18.39,华虹公司
2025-02-20,688347,59.6,58.23,59.89,56.82,383475,2220973864.0,5.09,-3.4,-2.05,9.8,华虹公司
2025-02-21,688347,58.5,59.78,61.94,57.5,611657,3685289615.0,7.62,2.66,1.55,15.63,华虹公司
2025-02-24,688347,58.8,59.86,61.94,58.17,409984,2460798703.0,6.31,0.13,0.08,10.47,华虹公司
2025-02-25,688347,57.86,56.51,59.22,56.28,353229,2035768285.0,4.91,-5.6,-3.35,9.02,华虹公司
2025-02-26,688347,57.47,57.31,57.85,54.86,247381,1401231359.0,5.29,1.42,0.8,6.32,华虹公司
2025-02-27,688347,57.0,55.19,58.25,53.9,274065,1523080232.0,7.59,-3.7,-2.12,7.0,华虹公司
2025-02-28,688347,54.86,52.4,55.19,52.1,198334,1060750316.0,5.6,-5.06,-2.79,5.07,华虹公司
2025-03-03,688347,52.6,51.81,52.88,51.25,146554,763211287.0,3.11,-1.13,-0.59,3.74,华虹公司
2025-03-04,688347,51.1,52.27,53.35,50.23,217825,1129216571.0,6.02,0.89,0.46,5.56,华虹公司
2025-03-05,688347,52.77,54.3,54.62,52.45,238817,1277727722.0,4.15,3.88,2.03,6.1,华虹公司
2025-03-06,688347,54.88,54.12,55.88,53.84,224256,1227729249.0,3.76,-0.33,-0.18,5.73,华虹公司
