date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover,name,tr,atr20,entry_high,exit_low,cash,shares,units,stop_price,next_add_price,equity,action,execution_price,action_reason,strategy_return,strategy_net_value,running_peak,drawdown,buy_hold_equity,buy_hold_net_value
2025-09-16,688347,76.25,76.9,77.99,75.57,235653,1808051190.0,3.15,0.05,0.04,5.78,华虹公司,2.4200000000000017,4.388015919615587,93.92,61.4,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,573452.7592379501,,,,0.0003279462010710166,1.1469055184759003,614859.75923795,-0.06734381194716543,728327.1816122683,1.4566543632245366
2025-09-17,688347,76.9,80.69,81.6,75.5,311890,2493580634.0,7.93,4.93,3.79,7.65,华虹公司,6.099999999999994,4.473615123634807,93.92,61.4,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,591265.7592379501,,,,0.031062715651889672,1.1825315184759002,614859.75923795,-0.0383729779767048,764222.6304849663,1.5284452609699326
2025-09-18,688347,81.11,82.49,88.88,80.01,366112,3065452942.0,10.99,2.23,1.8,8.98,华虹公司,8.86999999999999,4.693434367453066,93.92,61.4,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,599725.7592379501,,,,0.014308286701573358,1.1994515184759003,614859.75923795,-0.02461374284561535,781270.6009258258,1.5625412018516516
2025-09-19,688347,82.9,83.0,86.8,81.6,253890,2136934904.0,6.3,0.62,0.51,6.23,华虹公司,5.200000000000003,4.718762649080412,93.92,61.4,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,602122.7592379501,,,,0.003996826821388799,1.2042455184759002,614859.75923795,-0.020715292891806736,786100.8592174025,1.572201718434805
2025-09-22,688347,83.1,84.66,86.67,80.68,306066,2548693429.0,7.22,2.0,1.66,7.51,华虹公司,5.989999999999995,4.7823245166263915,93.92,61.4,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,609924.7592379501,,,,0.012957490611838374,1.2198495184759002,614859.75923795,-0.008026220493135283,801822.8764017506,1.6036457528035013
2025-09-23,688347,84.0,81.9,84.5,79.12,283101,2301302794.0,6.35,-3.26,-2.76,6.94,华虹公司,5.539999999999992,4.820208290795071,93.92,62.31,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,596952.7592379501,,,,-0.021268197107143894,1.1939055184759002,614859.75923795,-0.029123714360805852,775682.6550590997,1.5513653101181992
2025-09-24,688347,81.1,85.38,87.98,80.33,309193,2610977669.0,9.34,4.25,3.48,7.58,华虹公司,7.650000000000006,4.961697876255317,93.92,65.56,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,613308.7592379501,,,,0.02739915302658047,1.2266175184759003,614859.75923795,-0.002522526440699502,808642.0645780943,1.6172841291561886
2025-09-25,688347,85.3,90.38,93.0,84.9,323356,2888079611.0,9.49,5.86,5.0,7.93,华虹公司,8.099999999999994,5.118612982442551,93.92,67.07,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,636808.7592379501,,,,0.03831675260793488,1.2736175184759002,636808.7592379501,0.0,855997.5380249259,1.7119950760498517
2025-09-26,688347,89.23,95.77,99.88,89.01,379464,3589402887.0,12.03,5.96,5.39,9.31,华虹公司,10.86999999999999,5.406182333320423,93.92,67.08,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,662141.7592379501,,,,0.03978117391211011,1.3242835184759,662141.7592379501,0.0,907046.7384006102,1.8140934768012202
2025-09-29,688347,95.39,99.0,99.0,92.0,305494,2881474424.0,7.31,3.37,3.23,7.49,华虹公司,7.0,5.485873216654403,99.88,67.08,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,677322.7592379501,,,,0.022927114606805077,1.3546455184759,677322.7592379501,0.0,937638.3742472634,1.8752767484945267
2025-09-30,688347,97.83,114.56,117.89,97.0,421317,4529402196.0,21.1,15.72,15.56,10.33,华虹公司,20.89,6.256079555821683,99.88,67.08,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,750454.7592379501,,,,0.10797215803331373,1.5009095184759003,750454.7592379501,0.0,1085008.607613803,2.1700172152276056
2025-10-09,688347,122.0,128.35,137.47,120.08,593707,7775409442.0,15.18,12.04,13.79,14.56,华虹公司,22.909999999999997,7.0887755780305985,117.89,67.08,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,815267.7592379501,,,,0.08636496631164614,1.6305355184759003,815267.7592379501,0.0,1215615.003380164,2.431230006760328
2025-10-10,688347,122.05,113.1,123.43,113.0,484224,5629454053.0,8.13,-11.88,-15.25,11.88,华虹公司,15.349999999999994,7.501836799129069,137.47,67.08,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,743592.7592379501,,,,-0.08791590147879302,1.4871855184759002,815267.7592379501,-0.08791590147879302,1071180.8093673282,2.1423616187346566
2025-10-13,688347,112.0,135.72,135.72,111.5,611701,7626313647.0,21.41,20.0,22.62,15.0,华虹公司,24.22,8.337744959172614,137.47,67.08,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,849906.7592379501,,,,0.14297342016744885,1.6998135184759002,849906.7592379501,0.0,1285416.9712407938,2.570833942481588
2025-10-14,688347,135.72,122.99,135.72,117.58,561914,7101744408.0,13.37,-9.38,-12.73,13.78,华虹公司,18.14,8.827857711213984,137.47,67.08,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,790075.7592379501,,,,-0.07039713397931568,1.5801515184759,849906.7592379501,-0.07039713397931568,1164849.9358451609,2.329699871690322
2025-10-15,688347,120.53,125.07,128.28,116.1,399587,4898697344.0,9.9,1.69,2.08,9.8,华虹公司,12.180000000000007,8.995464825653285,137.47,67.08,212022.75923795006,4700,4,59.98017036417429,65.67026990895641,799851.7592379501,,,,0.012373496953544283,1.5997035184759,849906.7592379501,-0.05889469574860273,1184549.8127990426,2.369099625598085
